Id,Ship Date,Deliv Date,Trailer Number,Equipment,UPPER([Driver]),UPPER([Truck Number]),Cons City,Cons State,Con Zip,Ship City,Ship State,Ship Zip,Max. Miles,Max. Total Carr Adj,Max. Total Cust Rate,WordParam,DateParam
1334377,1/26/2018,1/29/2018,ETA 1/17,20FT CONTAINER,EVERGREEN,IMPORT,MORRISVILLE,NC,27560,PORTSMOUTH,VA,23703,196,1200,1400,ETA,1/17/2018
1334378,1/8/2018,1/24/2018,ETA 1/08,20FT CONTAINER,EVERGREEN,IMPORT,MORRISVILLE,NC,27560,PORTSMOUTH,VA,23703,196,1400,1600,ETA,1/8/2018
1358178,1/16/2018,2/5/2018,CUT 02/08,40 Flat Rack,HAPAG LLOYD,EXPORT,GARDEN CITY,GA,31408,GARDEN CITY,GA,31408,0,3500,5000,CUT,2/8/2018
1374925,1/18/2018,1/22/2018,CUT 1/08,40 HC,COSCO,EXPORT,CORRY,PA,16407,WILMERDING,PA,15148,141,1900,2300,CUT,1/8/2018
1375193,1/4/2018,1/5/2018,CUT 1/8,40 HC,COSCO,EXPORT,CORRY,PA,16407,WILMERDING,PA,15148,141,2000,2300,CUT,1/8/2018
1375231,1/4/2018,1/8/2018,CUT 1/8,40 HC,COSCO,EXPORT,CORRY,PA,16407,WILMERDING,PA,15148,141,1900,2300,CUT,1/8/2018
1375240,1/4/2018,1/5/2018,CUT 1/8,40 HC,COSCO,EXPORT,CORRY,PA,16407,WILMERDING,PA,15148,141,1800,2200,CUT,1/8/2018
1375246,1/18/2018,1/19/2018,CUT 1/8,40 HC,COSCO,EXPORT,CORRY,PA,16407,WILMERDING,PA,15148,141,1900,2300,CUT,1/8/2018
1375275,1/4/2018,1/5/2018,CUT 1/8,40 HC,COSCO,EXPORT,CORRY,PA,16407,WILMERDING,PA,15148,141,1800,2200,CUT,1/8/2018
1382964,1/2/2018,1/3/2018,ETA 12/11,40 STD,HAPAG LLOYD,IMPORT,SEYMOUR,IN,47274,INDIANAPOLIS,IN,46225,63,600,800,ETA,12/11/2018
1383963,2/20/2018,2/20/2018,ETA 11/29,40FT CONTAINER,MAERSK,IMPORT,NEWARK,NJ,7105,NEWARK,NJ,7105,0,600,2000,ETA,11/29/2018
1390183,1/3/2018,1/17/2018,ETA 12/30,40 HC,HAPAG,IMPORT,DUBLIN,CA,94568,OAKLAND,CA,94607,28,1000,1200,ETA,12/30/2018
1390676,1/6/2018,1/17/2018,ETA 12/30,40FT CONTAINER,HAPAG,IMPORT,DUBLIN,CA,94568,OAKLAND,CA,94607,28,900,1100,ETA,12/30/2018
1392121,1/8/2018,1/9/2018,CUT 1/11,40 STD,OOCL,EXPORT,ALTON,MO,65606,MEMPHIS,TN,38109,169,1300,1300,CUT,1/11/2018
1392273,1/19/2018,1/22/2018,CUT 1/11,20FT CONTAINER,MSC,EXPORT,MASHPEE,MA,6249,SOUTH BOSTON,MA,0,0,1000,1400,CUT,1/11/2018
1395219,1/8/2018,1/9/2018,CUT 1/13,40 STD,CMA,EXPORT,WESTERN GROVE,AR,72685,MEMPHIS,TN,38109,260,1600,1700,CUT,1/13/2018
1395223,1/8/2018,1/10/2018,CUT 1/13,40 STD,CMA,EXPORT,WESTERN GROVE,AR,72685,MEMPHIS,TN,38109,260,1700,1800,CUT,1/13/2018
1395224,1/8/2018,1/11/2018,CUT 1/13,40 STD,CMA,EXPORT,WESTERN GROVE,AR,72685,MEMPHIS,TN,38109,260,1700,1800,CUT,1/13/2018
1395225,1/15/2018,1/19/2018,CUT 1/20,40 STD,CMA,EXPORT,WESTERN GROVE,AR,72685,MEMPHIS,TN,38109,260,2000,2100,CUT,1/20/2018
1402513,1/13/2018,1/19/2018,ETA 1/13,40FT CONTAINER,HAPAG,IMPORT,DUBLIN,CA,94568,OAKLAND,CA,94607,28,900,1100,ETA,1/13/2018
1405226,1/19/2018,1/26/2018,ETA 12/29,20FT CONTAINER,COSCO,IMPORT,CAMP HILL,PA,17077,PITTSBURGH,PA,15148,211,2200,2500,ETA,12/29/2018
1405230,1/12/2018,1/16/2018,ETA 1/12,20FT CONTAINER,MSC,IMPORT,CAMP HILL,PA,17077,BALTIMORE,MD,21224,107,1100,1400,ETA,1/12/2018
1405236,1/9/2018,1/9/2018,ETA 1/12,20FT CONTAINER,MSC,IMPORT,CAMP HILL,PA,17077,BALTIMORE,MD,21224,107,1100,1600,ETA,1/12/2018
1405237,2/5/2018,2/6/2018,ETA 2/01,40 HC,HAPAG LLOYD,IMPORT,CLACKAMAS,OR,97015,TACOMA,WA,98421,156,2300,2900,ETA,2/1/2018
1405239,2/7/2018,2/8/2018,ETA 1/15,20FT CONTAINER,COSCO,IMPORT,CAMP HILL,PA,17077,PITTSBURGH,PA,15148,211,1900,2400,ETA,1/15/2018
1405240,2/7/2018,2/8/2018,ETA 1/15,20FT CONTAINER,COSCO,IMPORT,CAMP HILL,PA,17077,PITTSBURGH,PA,15148,211,2100,2400,ETA,1/15/2018
1405242,2/12/2018,2/14/2018,ETA 1/31,20FT CONTAINER,MOL,IMPORT,CAMP HILL,PA,17077,PITTSBURGH,PA,15148,211,2100,2400,ETA,1/31/2018
1405243,2/5/2018,2/7/2018,ETA 2/01,20FT CONTAINER,HAPAG LLOYD,IMPORT,CLACKAMAS,OR,97015,TACOMA,WA,98421,156,2300,2800,ETA,2/1/2018
1405245,2/12/2018,2/14/2018,ETA 1/31,20FT CONTAINER,MOL,IMPORT,CAMP HILL,PA,17077,PITTSBURGH,PA,15148,211,2100,2400,ETA,1/31/2018
1405265,2/14/2018,3/5/2018,ETA 2/10,20FT CONTAINER,MOL,IMPORT,CAMP HILL,PA,17077,PITTSBURGH,PA,15148,211,2400,2700,ETA,2/10/2018
1405273,2/12/2018,2/15/2018,ETA 1/19,20FT CONTAINER,COSCO,IMPORT,JACKSON,MO,63755,MEMPHIS,TN,38109,185,1200,1600,ETA,1/19/2018
1408713,1/10/2018,1/11/2018,CUT 1/13,40 STD,COSCO,EXPORT,RAYMONDVILLE,MO,65555,ST LOUIS,MO,63147,158,1600,1800,CUT,1/13/2018
1408714,1/10/2018,1/12/2018,CUT 1/13,40 STD,COSCO,EXPORT,RAYMONDVILLE,MO,65555,ST. LOUIS,MO,63147,158,1800,2000,CUT,1/13/2018
1408780,1/25/2018,1/29/2018,CUT 1/30,40 STD,APL,EXPORT,WESTERN GROVE,AR,72685,MEMPHIS,TN,38109,260,2000,2000,CUT,1/30/2018
1408919,1/3/2018,1/18/2018,ETA 1/6,40FT CONTAINER,OOCL,IMPORT,HANOVER PARK,IL,60133,ELWOOD,IL,60421,49,1400,1600,ETA,1/6/2018
1410435,1/10/2018,1/19/2018,eta 1/10,20 STD,CMA,IMPORT,VISALIA,CA,93291,SAN PEDRO,CA,90731,211,1700,1900,eta,1/10/2018
1411006,1/9/2018,1/25/2018,CUT 1/11,20FT CONTAINER,CMA CGM,EXPORT,NEWARK,NJ,7114,NEW BRITAIN,CT,6052,122,1500,1800,CUT,1/11/2018
1411065,1/9/2018,1/24/2018,CUT 1/11,40 HC,CMA,EXPORT,NEWARK,NJ,7114,NEW BRITAIN,CT,6052,122,1500,1800,CUT,1/11/2018
1411165,1/1/2018,1/4/2018,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,900,1000,ETA,12/31/2018
1411174,1/1/2018,1/4/2018,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,900,1000,ETA,12/31/2018
1411175,1/1/2018,1/4/2018,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,900,1000,ETA,12/31/2018
1411176,1/1/2018,1/4/2018,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,1000,1100,ETA,12/31/2018
1411177,1/1/2018,1/4/2018,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,1100,1200,ETA,12/31/2018
1411178,1/1/2018,1/4/2018,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,900,1000,ETA,12/31/2018
1411179,1/1/2018,1/3/2018,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,900,1000,ETA,12/31/2018
1411180,1/1/2018,1/3/2018,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,900,1000,ETA,12/31/2018
1411181,1/1/2018,1/3/2018,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,900,1000,ETA,12/31/2018
1411182,1/1/2018,1/3/2018,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,900,1000,ETA,12/31/2018
1411183,1/1/2018,1/3/2018,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,900,1000,ETA,12/31/2018
1411184,1/1/2018,1/3/2018,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,1000,1000,ETA,12/31/2018
1416661,1/4/2018,1/4/2018,CUT 12/28,20 STD,MSC,EXPORT,OXFORD,OH,45056,CINCINNATI,OH,45201,0,800,1100,CUT,12/28/2018
1416908,1/17/2018,1/24/2018,eta 1/17,20 STD,CMA,IMPORT,VISALIA,CA,93291,SAN PEDRO,CA,90731,211,1700,1900,eta,1/17/2018
1417083,1/9/2018,1/17/2018,cut 1/19,40 STD,CMA,EXPORT,RAYMONDVILLE,TX,78580,HOUSTON,TX,77013,315,2900,2600,cut,1/19/2018
1417314,1/7/2018,1/9/2018,CUT 1/12,40 STD,ZIM,EXPORT,WESTERN GROVE,AR,72685,MEMPHIS,TN,38109,260,1900,1900,CUT,1/12/2018
1419976,1/4/2018,1/4/2018,ETA 12/18,40 STD,YANG MING,IMPORT,MEQUON,WI,53092,ELWOOD,IL,60421,145,1300,1400,ETA,12/18/2018
1420351,1/2/2018,1/9/2018,CUT 1/5,40 HC,MAERSK,EXPORT,FINKSBURG,MD,21137,PHILADELPHIA,PA,19148,0,2900,3000,CUT,1/5/2018
1421219,1/2/2018,1/3/2018,ETA 12/31,20FT CONTAINER,COSCO,IMPORT,ROMEOVILLE,IL,60446,HARVEY,IL,60426,25,1500,1700,ETA,12/31/2018
1421466,2/1/2018,2/6/2018,CUT 2/7,40 HC,COSCO,EXPORT,AUSTIN,TX,78724,BARBOURS CUT,TX,77571,181,1900,2100,CUT,2/7/2018
1421475,2/1/2018,2/5/2018,CUT 2/7,40 HC,COSCO,EXPORT,AUSTIN,TX,78724,BARBOURS CUT,TX,77571,181,1800,2000,CUT,2/7/2018
1421489,2/5/2018,2/6/2018,CUT 2/7,40 HC,COSCO,EXPORT,AUSTIN,TX,78724,BARBOURS CUT,TX,77571,181,1800,1900,CUT,2/7/2018
1421517,2/1/2018,2/5/2018,CUT 2/7,40 HC,COSCO,EXPORT,AUSTIN,TX,78724,BARBOURS CUT,TX,77571,181,2500,2600,CUT,2/7/2018
1421813,1/13/2018,1/16/2018,cut 1/15,40 STD,HAPAG,EXPORT,CARTERSVILLE,GA,30121,GARDEN CITY,GA,31408,297,2000,2300,cut,1/15/2018
1422502,1/2/2018,1/5/2018,ETA 12/19,40FT CONTAINER,HAPAG,IMPORT,SHEBOYGAN FALLS,WI,53085,CHICAGO,IL,60629,149,2700,3200,ETA,12/19/2018
1422511,1/2/2018,1/3/2018,ETA 12/19,40FT CONTAINER,HAPAG,IMPORT,SHEBOYGAN FALLS,WI,53085,CHICAGO,IL,60629,149,2800,3300,ETA,12/19/2018
1422834,1/3/2018,1/3/2018,ETA 12/22,20 STD,CMA,IMPORT,LEWISPORT,KY,42351,LOUISVILLE,KY,40214,95,2500,2700,ETA,12/22/2018
