Id,,Ship Date,Deliv Date,Trailer Number,Equipment,UPPER([Driver]),UPPER([Truck Number]),Cons City,Cons State,Con Zip,Ship City,Ship State,Ship Zip,Max. Miles,Max. Total Carr Adj,Max. Total Cust Rate
1334377,#REF!,1/26/18 0:00,1/29/18 0:00,ETA 1/17,20FT CONTAINER,EVERGREEN,IMPORT,MORRISVILLE,NC,27560,PORTSMOUTH,VA,23703,196,"$1,200.00","$1,400.00"
1334378,#REF!,1/8/18 0:00,1/24/18 0:00,ETA 1/08,20FT CONTAINER,EVERGREEN,IMPORT,MORRISVILLE,NC,27560,PORTSMOUTH,VA,23703,196,"$1,400.00","$1,600.00"
1358178,#REF!,1/16/18 0:00,2/5/18 0:00,CUT 02/08,40 Flat Rack,HAPAG LLOYD,EXPORT,GARDEN CITY,GA,31408,GARDEN CITY,GA,31408,0,"$3,500.00","$5,000.00"
1374925,#REF!,1/18/18 0:00,1/22/18 0:00,CUT 1/08,40 HC,COSCO,EXPORT,CORRY,PA,16407,WILMERDING,PA,15148,141,"$1,900.00","$2,300.00"
1375193,#REF!,1/4/18 0:00,1/5/18 0:00,CUT 1/8,40 HC,COSCO,EXPORT,CORRY,PA,16407,WILMERDING,PA,15148,141,"$2,000.00","$2,300.00"
1375231,#REF!,1/4/18 0:00,1/8/18 0:00,CUT 1/8,40 HC,COSCO,EXPORT,CORRY,PA,16407,WILMERDING,PA,15148,141,"$1,900.00","$2,300.00"
1375240,#REF!,1/4/18 0:00,1/5/18 0:00,CUT 1/8,40 HC,COSCO,EXPORT,CORRY,PA,16407,WILMERDING,PA,15148,141,"$1,800.00","$2,200.00"
1375246,#REF!,1/18/18 0:00,1/19/18 0:00,CUT 1/8,40 HC,COSCO,EXPORT,CORRY,PA,16407,WILMERDING,PA,15148,141,"$1,900.00","$2,300.00"
1375275,#REF!,1/4/18 0:00,1/5/18 0:00,CUT 1/8,40 HC,COSCO,EXPORT,CORRY,PA,16407,WILMERDING,PA,15148,141,"$1,800.00","$2,200.00"
1377469,#REF!,2/7/18 0:00,2/8/18 0:00,,40FT CONTAINER,MSC,IMPORT,AUSTIN,TX,78754,HASLET TX,TX,76502,62,"$1,600.00","$2,300.00"
1382964,#REF!,1/2/18 0:00,1/3/18 0:00,ETA 12/11,40 STD,HAPAG LLOYD,IMPORT,SEYMOUR,IN,47274,INDIANAPOLIS,IN,46225,63,$600.00,$800.00
1383025,#REF!,1/31/18 0:00,1/31/18 0:00,LFD 12/20,40 HC,HAPAAG,IMPORT,O'FALLON,MO,63366,SAINT LOUIS,MO,63147,30,$500.00,"$1,100.00"
1383963,#REF!,2/20/18 0:00,2/20/18 0:00,ETA 11/29,40FT CONTAINER,MAERSK,IMPORT,NEWARK,NJ,7105,NEWARK,NJ,7105,0,$600.00,"$2,000.00"
1390183,#REF!,1/3/18 0:00,1/17/18 0:00,ETA 12/30,40 HC,HAPAG,IMPORT,DUBLIN,CA,94568,OAKLAND,CA,94607,28,"$1,000.00","$1,200.00"
1390676,#REF!,1/6/18 0:00,1/17/18 0:00,ETA 12/30,40FT CONTAINER,HAPAG,IMPORT,DUBLIN,CA,94568,OAKLAND,CA,94607,28,$900.00,"$1,100.00"
1392121,#REF!,1/8/18 0:00,1/9/18 0:00,CUT 1/11,40 STD,OOCL,EXPORT,ALTON,MO,65606,MEMPHIS,TN,38109,169,"$1,300.00","$1,300.00"
1392273,#REF!,1/19/18 0:00,1/22/18 0:00,CUT 1/11,20FT CONTAINER,MSC,EXPORT,MASHPEE,MA,6249,SOUTH BOSTON,MA,0,0,"$1,000.00","$1,400.00"
1394933,#REF!,1/1/18 0:00,1/2/18 0:00,LFD 12/6,20FT CONTAINER,MOL,IMPORT,BURNSVILLE,MN,55337,MINNEAPOLIS,MN,55418,21,$900.00,"$1,100.00"
1395219,#REF!,1/8/18 0:00,1/9/18 0:00,CUT 1/13,40 STD,CMA,EXPORT,WESTERN GROVE,AR,72685,MEMPHIS,TN,38109,260,"$1,600.00","$1,700.00"
1395223,#REF!,1/8/18 0:00,1/10/18 0:00,CUT 1/13,40 STD,CMA,EXPORT,WESTERN GROVE,AR,72685,MEMPHIS,TN,38109,260,"$1,700.00","$1,800.00"
1395224,#REF!,1/8/18 0:00,1/11/18 0:00,CUT 1/13,40 STD,CMA,EXPORT,WESTERN GROVE,AR,72685,MEMPHIS,TN,38109,260,"$1,700.00","$1,800.00"
1395225,#REF!,1/15/18 0:00,1/19/18 0:00,CUT 1/20,40 STD,CMA,EXPORT,WESTERN GROVE,AR,72685,MEMPHIS,TN,38109,260,"$2,000.00","$2,100.00"
1395712,#REF!,1/3/18 0:00,1/15/18 0:00,LFD 1/12,40 HC,YANG MING,IMPORT,NEWNAN,GA,30265,GARDEN CITY,GA,31408,251,"$2,300.00","$2,600.00"
1402513,#REF!,1/13/18 0:00,1/19/18 0:00,ETA 1/13,40FT CONTAINER,HAPAG,IMPORT,DUBLIN,CA,94568,OAKLAND,CA,94607,28,$900.00,"$1,100.00"
1405054,#REF!,1/9/18 0:00,1/15/18 0:00,LFD: 1/12,40 STD,ZIM,EXPORT,TAMPA,FL,33162,FORT LAUDERDALE,FL,33316,15,"$1,500.00","$1,600.00"
1405225,#REF!,1/19/18 0:00,1/23/18 0:00,LFD 1/22,20FT CONTAINER,COSCO,IMPORT,CAMP HILL,PA,17077,PITTSBURGH,PA,15148,211,"$2,200.00","$2,500.00"
1405226,#REF!,1/19/18 0:00,1/26/18 0:00,ETA 12/29,20FT CONTAINER,COSCO,IMPORT,CAMP HILL,PA,17077,PITTSBURGH,PA,15148,211,"$2,200.00","$2,500.00"
1405227,#REF!,1/19/18 0:00,1/23/18 0:00,,20FT CONTAINER,COSCO,IMPORT,CAMP HILL,PA,17077,PITTSBURGH,PA,15148,211,"$2,200.00","$2,500.00"
1405228,#REF!,1/19/18 0:00,1/23/18 0:00,,20FT CONTAINER,COSCO,IMPORT,CAMP HILL,PA,17077,PITTSBURGH,PA,15148,211,"$2,100.00","$2,400.00"
1405229,#REF!,1/19/18 0:00,1/24/18 0:00,,20FT CONTAINER,COSCO,IMPORT,CAMP HILL,PA,17077,PITTSBURGH,PA,15148,211,"$2,100.00","$2,400.00"
1405230,#REF!,1/12/18 0:00,1/16/18 0:00,ETA 1/12,20FT CONTAINER,MSC,IMPORT,CAMP HILL,PA,17077,BALTIMORE,MD,21224,107,"$1,100.00","$1,400.00"
1405231,#REF!,1/19/18 0:00,1/23/18 0:00,ETA TBD,20FT CONTAINER,COSCO,IMPORT,CAMP HILL,PA,17077,PITTSBURGH,PA,15148,211,"$2,100.00","$2,400.00"
1405233,#REF!,1/19/18 0:00,1/25/18 0:00,ETA TBD,20FT CONTAINER,COSCO,IMPORT,CAMP HILL,PA,17077,PITTSBURGH,PA,15148,211,"$2,200.00","$2,500.00"
1405236,#REF!,1/9/18 0:00,1/9/18 0:00,ETA 1/12,20FT CONTAINER,MSC,IMPORT,CAMP HILL,PA,17077,BALTIMORE,MD,21224,107,"$1,100.00","$1,600.00"
1405237,#REF!,2/5/18 0:00,2/6/18 0:00,ETA 2/01,40 HC,HAPAG LLOYD,IMPORT,CLACKAMAS,OR,97015,TACOMA,WA,98421,156,"$2,300.00","$2,900.00"
1405239,#REF!,2/7/18 0:00,2/8/18 0:00,ETA 1/15,20FT CONTAINER,COSCO,IMPORT,CAMP HILL,PA,17077,PITTSBURGH,PA,15148,211,"$1,900.00","$2,400.00"
1405240,#REF!,2/7/18 0:00,2/8/18 0:00,ETA 1/15,20FT CONTAINER,COSCO,IMPORT,CAMP HILL,PA,17077,PITTSBURGH,PA,15148,211,"$2,100.00","$2,400.00"
1405241,#REF!,2/7/18 0:00,2/8/18 0:00,,20FT CONTAINER,COSCO,IMPORT,CAMP HILL,PA,17077,PITTSBURGH,PA,15148,211,"$2,100.00","$2,400.00"
1405242,#REF!,2/12/18 0:00,2/14/18 0:00,ETA 1/31,20FT CONTAINER,MOL,IMPORT,CAMP HILL,PA,17077,PITTSBURGH,PA,15148,211,"$2,100.00","$2,400.00"
1405243,#REF!,2/5/18 0:00,2/7/18 0:00,ETA 2/01,20FT CONTAINER,HAPAG LLOYD,IMPORT,CLACKAMAS,OR,97015,TACOMA,WA,98421,156,"$2,300.00","$2,800.00"
1405245,#REF!,2/12/18 0:00,2/14/18 0:00,ETA 1/31,20FT CONTAINER,MOL,IMPORT,CAMP HILL,PA,17077,PITTSBURGH,PA,15148,211,"$2,100.00","$2,400.00"
1405265,#REF!,2/14/18 0:00,3/5/18 0:00,ETA 2/10,20FT CONTAINER,MOL,IMPORT,CAMP HILL,PA,17077,PITTSBURGH,PA,15148,211,"$2,400.00","$2,700.00"
