Zip3,Zipcode,Z,ZipcodeType,City,State,Population,Density,TotalWages,Wealthy,HouseOfUnits,LandArea,WaterArea,Latitude,Longitude,NEBoundLatitude,NEBoundLongitude,SWBoundLatitude,SWBoungLongitude
294,29464,29464,Standard,Mount Pleasant,SC,43649,1467.686617,1094083177,25065.48093,21157,29.74,7.14,32.8234848,-79.8520818,32.8823888,-79.791746,32.766382,-79.917163
314,31408,31408,Standard,Savannah,GA,9952,407.8688525,97742981,9821.441017,3438,24.4,0.44,32.1047515,-81.1747498,32.1683399,-81.096333,32.0625001,-81.2447239
775,77571,77571,Standard,La Porte,TX,35666,1020.486409,769311103,21569.87335,13658,34.95,6.29,29.6814047,-95.0494602,29.764484,-94.9548169,29.594064,-95.1146949
303,30336,30336,Standard,Atlanta,GA,971,93.27569645,31812487,32762.60247,460,10.41,0.23,33.7489465,-84.5484275,33.7903341,-84.4944229,33.691378,-84.6323329
770,77020,77020,Standard,Houston,TX,25464,3690.434783,242110745,9507.962025,9384,6.9,0.12,29.7692001,-95.3154784,29.799291,-95.2851671,29.746771,-95.3521289
604,60421,60421,Standard,Elwood,IL,3968,97.27874479,88042809,22188.20791,1570,40.79,0.15,41.4057538,-88.1096118,41.4887109,-88.0203839,41.377446,-88.1705
907,90731,90731,Standard,San Pedro,CA,59662,6492.056583,940784609,15768.57311,23914,9.19,6.44,33.7241323,-118.2643567,33.7820801,-118.209289,33.696923,-118.3283451
752,75233,75233,Standard,Dallas,TX,14043,4058.67052,151602677,10795.60471,4966,3.46,0,32.7049103,-96.8726295,32.72533,-96.854324,32.6888761,-96.891483
322,32226,32226,Standard,Jacksonville,FL,15761,184.3391813,374996074,23792.65745,6068,85.5,25.91,30.4573359,-81.4937993,30.5859,-81.3887049,30.2660451,-81.6456751
908,90802,90802,Standard,Long Beach,CA,39347,6072.067901,686578828,17449.33103,23071,6.48,8.46,33.7415317,-118.1941785,33.7815359,-118.1659901,33.7144679,-118.248966
601,60106,60106,Standard,Bensenville,IL,20309,2264.102564,339835417,16733.24226,7444,8.97,0.1,41.9508814,-87.9432837,41.9933779,-87.914989,41.9247521,-87.9736399
301,30106,30106,Standard,Austell,GA,20300,1637.096774,289005163,14236.70754,8684,12.4,0.03,33.8417064,-84.6322156,33.8695229,-84.5669939,33.800739,-84.6807479
760,76052,76052,Standard,Haslet,TX,15995,353.01258,386946305,24191.70397,5318,45.31,0.11,32.9843533,-97.3840729,33.038853,-97.316942,32.9197921,-97.452606
72,7201,7201,Standard,Elizabeth,NJ,26263,3949.323308,294447937,11211.5119,9337,6.65,0.38,40.6669059,-74.2040745,40.6907379,-74.1367031,40.6548,-74.2172631
331,33166,33166,Standard,Miami,FL,23038,2456.076759,439612651,19082.06663,8574,9.38,1.48,25.8235041,-80.3101684,25.869573,-80.2616911,25.80306,-80.354626
212,21224,21224,Standard,Baltimore,MD,49134,5188.384372,876200844,17832.8824,23112,9.47,3.43,39.2713976,-76.5603828,39.3065029,-76.468965,39.2184079,-76.586889
606,60638,60638,Standard,Chicago,IL,55026,4957.297297,990822809,18006.44802,21397,11.1,0,41.7887483,-87.7664934,41.818627,-87.624724,41.753929,-87.8047879
462,46225,46225,Standard,Indianapolis,IN,7319,1811.633663,71819128,9812.696817,3594,4.04,0.11,39.7379842,-86.1599149,39.7687029,-86.116539,39.6400499,-86.1899059
402,40219,40219,Standard,Louisville,KY,38032,2642.946491,465039221,12227.57733,16623,14.39,0.22,38.1422302,-85.6743082,38.1745589,-85.6373189,38.111115,-85.748962
946,94607,94607,Standard,Oakland,CA,24978,4233.559322,352869660,14127.21835,12086,5.9,1.18,37.8134679,-122.307917,37.832947,-122.2595771,37.7880281,-122.346681
